hour;priceDkk
00;0.15300
01;0.15300
02;0.15300
03;0.15300
04;0.15300
05;0.15300
06;0.45913
07;0.45913
08;0.45913
09;0.45913
10;0.45913
11;0.45913
12;0.45913
13;0.45913
14;0.45913
15;0.45913
16;0.45913
17;1.37750
18;1.37750
19;1.37750
20;1.37750
21;0.45913
22;0.45913
23;0.45913
24;0.45913
